,Id,Pred,Season,team0,team1,wins0,wins1,avg_fgm0,avg_fgm1,std_fgm0,std_fgm1,avg_fga0,avg_fga1,std_fga0,std_fga1,avg_fgm30,avg_fgm31,std_fgm30,std_fgm31,avg_fga30,avg_fga31,std_fga30,std_fga31,avg_ftm0,avg_ftm1,std_ftm0,std_ftm1,avg_fta0,avg_fta1,std_fta0,std_fta1,avg_or0,avg_or1,std_or0,std_or1,avg_dr0,avg_dr1,std_dr0,std_dr1,avg_ast0,avg_ast1,std_ast0,std_ast1,avg_to0,avg_to1,std_to0,std_to1,avg_stl0,avg_stl1,std_stl0,std_stl1,avg_blk0,avg_blk1,std_blk0,std_blk1,avg_pf0,avg_pf1,std_pf0,std_pf1,ftr0,ftr1,efg0,efg1,to_p0,to_p1,orp0,orp1
12,2012_1104_1196,0.5,2012,1104,1196,21,23,23.62,26.42,3.63,4.96,52.31,57.36,6.86,7.95,4.03,9.94,1.86,2.62,14.16,25.48,4.33,3.78,13.66,13.48,5.82,6.55,19.09,18.94,7.28,8.87,10.81,11.45,4.1,5.11,24.38,23.7,3.4,4.88,12.28,15.0,2.64,4.76,12.94,10.91,2.94,4.03,7.31,6.48,3.51,3.01,4.16,3.27,2.68,1.79,18.41,15.85,4.01,3.68,0.38,0.34,0.49,0.55,0.38,0.28,0.33,0.33
13,2012_1104_1199,0.5,2012,1104,1199,21,24,23.62,25.27,3.63,3.77,52.31,55.15,6.86,5.98,4.03,6.15,1.86,2.46,14.16,17.42,4.33,4.68,13.66,13.64,5.82,6.52,19.09,19.39,7.28,7.48,10.81,11.67,4.1,3.97,24.38,25.03,3.4,4.28,12.28,12.21,2.64,3.52,12.94,16.27,2.94,3.65,7.31,7.61,3.51,3.37,4.16,5.94,2.68,3.2,18.41,18.76,4.01,3.82,0.38,0.35,0.49,0.52,0.38,0.5,0.33,0.35
14,2012_1104_1207,0.5,2012,1104,1207,21,22,23.62,24.23,3.63,5.22,52.31,52.87,6.86,8.16,4.03,5.47,1.86,2.26,14.16,15.93,4.33,4.33,13.66,14.5,5.82,5.66,19.09,20.83,7.28,7.75,10.81,11.3,4.1,4.67,24.38,25.03,3.4,4.91,12.28,13.5,2.64,3.95,12.94,12.6,2.94,2.93,7.31,6.23,3.51,2.21,4.16,4.87,2.68,2.56,18.41,17.83,4.01,3.41,0.38,0.41,0.49,0.51,0.38,0.36,0.33,0.35
15,2012_1104_1211,0.5,2012,1104,1211,21,25,23.62,24.94,3.63,4.03,52.31,52.71,6.86,7.02,4.03,6.39,1.86,2.76,14.16,17.0,4.33,4.95,13.66,17.71,5.82,7.16,19.09,24.77,7.28,9.07,10.81,10.97,4.1,3.38,24.38,26.16,3.4,4.65,12.28,13.74,2.64,3.62,12.94,13.35,2.94,4.15,7.31,6.81,3.51,3.44,4.16,3.29,2.68,1.72,18.41,15.16,4.01,3.45,0.38,0.49,0.49,0.54,0.38,0.38,0.33,0.35
16,2012_1104_1217,0.5,2012,1104,1217,21,25,23.62,22.03,3.63,4.2,52.31,47.45,6.86,6.76,4.03,5.79,1.86,2.38,14.16,16.31,4.33,5.48,13.66,15.21,5.82,5.75,19.09,20.28,7.28,7.24,10.81,8.55,4.1,3.09,24.38,24.38,3.4,4.48,12.28,12.9,2.64,2.73,12.94,12.52,2.94,3.43,7.31,5.86,3.51,2.92,4.16,4.41,2.68,2.28,18.41,15.17,4.01,3.2,0.38,0.45,0.49,0.53,0.38,0.4,0.33,0.31
17,2012_1104_1231,0.5,2012,1104,1231,21,25,23.62,25.97,3.63,4.65,52.31,53.3,6.86,6.07,4.03,6.39,1.86,3.06,14.16,14.76,4.33,4.93,13.66,18.94,5.82,7.77,19.09,24.85,7.28,9.37,10.81,10.79,4.1,3.71,24.38,24.12,3.4,4.8,12.28,13.42,2.64,5.45,12.94,12.76,2.94,2.92,7.31,6.42,3.51,3.6,4.16,3.36,2.68,2.04,18.41,17.58,4.01,3.63,0.38,0.48,0.49,0.55,0.38,0.33,0.33,0.35
18,2012_1104_1233,0.5,2012,1104,1233,21,25,23.62,30.94,3.63,5.17,52.31,61.34,6.86,8.88,4.03,7.75,1.86,3.92,14.16,19.72,4.33,7.36,13.66,13.62,5.82,5.97,19.09,19.03,7.28,8.06,10.81,10.78,4.1,3.75,24.38,23.97,3.4,5.63,12.28,19.34,2.64,5.17,12.94,12.38,2.94,3.57,7.31,7.22,3.51,3.15,4.16,2.12,2.68,1.7,18.41,16.88,4.01,4.06,0.38,0.32,0.49,0.57,0.38,0.29,0.33,0.32
19,2012_1104_1235,0.5,2012,1104,1235,21,22,23.62,24.88,3.63,3.29,52.31,55.41,6.86,6.54,4.03,8.88,1.86,3.02,14.16,23.38,4.33,5.44,13.66,14.56,5.82,5.25,19.09,21.44,7.28,8.09,10.81,10.84,4.1,3.33,24.38,25.88,3.4,4.54,12.28,14.59,2.64,4.04,12.94,12.53,2.94,2.93,7.31,5.88,3.51,2.06,4.16,2.81,2.68,1.71,18.41,16.06,4.01,3.82,0.38,0.4,0.49,0.53,0.38,0.32,0.33,0.32
20,2012_1104_1242,0.5,2012,1104,1242,21,27,23.62,26.67,3.63,4.73,52.31,54.94,6.86,6.53,4.03,6.0,1.86,2.18,14.16,16.76,4.33,4.55,13.66,15.7,5.82,4.29,19.09,22.55,7.28,5.79,10.81,11.12,4.1,3.41,24.38,25.79,3.4,4.12,12.28,15.61,2.64,4.82,12.94,13.27,2.94,4.03,7.31,7.39,3.51,2.79,4.16,5.64,2.68,3.08,18.41,17.64,4.01,3.66,0.38,0.42,0.49,0.54,0.38,0.37,0.33,0.35
21,2012_1104_1243,0.5,2012,1104,1243,21,21,23.62,24.84,3.63,3.73,52.31,56.13,6.86,6.08,4.03,5.71,1.86,2.88,14.16,16.68,4.33,4.98,13.66,16.03,5.82,5.9,19.09,24.06,7.28,8.54,10.81,14.23,4.1,4.41,24.38,23.03,3.4,5.24,12.28,14.45,2.64,4.02,12.94,14.48,2.94,3.16,7.31,6.16,3.51,2.83,4.16,4.81,2.68,2.3,18.41,20.13,4.01,4.75,0.38,0.44,0.49,0.5,0.38,0.4,0.33,0.4
22,2012_1104_1246,0.5,2012,1104,1246,21,32,23.62,27.32,3.63,5.2,52.31,56.59,6.86,7.05,4.03,5.74,1.86,3.14,14.16,15.44,4.33,5.76,13.66,16.29,5.82,6.58,19.09,22.62,7.28,8.71,10.81,12.5,4.1,3.57,24.38,26.62,3.4,5.05,12.28,13.24,2.64,3.8,12.94,11.35,2.94,4.87,7.31,6.32,3.51,2.42,4.16,8.79,2.68,2.89,18.41,14.56,4.01,3.82,0.38,0.41,0.49,0.53,0.38,0.3,0.33,0.38
23,2012_1104_1249,0.5,2012,1104,1249,21,21,23.62,25.38,3.63,5.14,52.31,59.09,6.86,6.7,4.03,4.25,1.86,2.38,14.16,12.81,4.33,4.45,13.66,17.62,5.82,5.36,19.09,24.34,7.28,6.25,10.81,13.97,4.1,5.22,24.38,25.25,3.4,5.35,12.28,12.44,2.64,4.79,12.94,12.12,2.94,3.78,7.31,7.88,3.51,3.54,4.16,4.38,2.68,2.3,18.41,17.53,4.01,3.72,0.38,0.42,0.49,0.47,0.38,0.3,0.33,0.36
24,2012_1104_1250,0.5,2012,1104,1250,21,25,23.62,25.75,3.63,3.72,52.31,57.81,6.86,7.16,4.03,7.41,1.86,1.93,14.16,20.88,4.33,3.65,13.66,16.72,5.82,6.94,19.09,21.59,7.28,8.55,10.81,10.84,4.1,3.31,24.38,24.72,3.4,5.03,12.28,13.0,2.64,3.21,12.94,11.53,2.94,3.96,7.31,7.81,3.51,2.68,4.16,2.91,2.68,1.63,18.41,17.78,4.01,5.35,0.38,0.39,0.49,0.51,0.38,0.28,0.33,0.31
25,2012_1104_1253,0.5,2012,1104,1253,21,23,23.62,25.58,3.63,4.65,52.31,54.94,6.86,7.12,4.03,6.61,1.86,2.23,14.16,18.45,4.33,4.79,13.66,16.0,5.82,6.93,19.09,23.84,7.28,8.05,10.81,11.29,4.1,3.62,24.38,24.35,3.4,4.92,12.28,14.13,2.64,4.13,12.94,12.87,2.94,3.98,7.31,6.81,3.51,3.55,4.16,2.74,2.68,1.55,18.41,15.74,4.01,4.24,0.38,0.45,0.49,0.53,0.38,0.34,0.33,0.34
26,2012_1104_1254,0.5,2012,1104,1254,21,25,23.62,27.21,3.63,5.31,52.31,57.27,6.86,6.4,4.03,6.58,1.86,2.65,14.16,17.85,4.33,4.58,13.66,20.88,5.82,6.02,19.09,28.55,7.28,7.06,10.81,11.88,4.1,3.4,24.38,26.76,3.4,4.98,12.28,14.85,2.64,5.3,12.94,16.18,2.94,4.61,7.31,6.06,3.51,2.19,4.16,3.3,2.68,1.67,18.41,15.79,4.01,4.0,0.38,0.51,0.49,0.53,0.38,0.43,0.33,0.35
27,2012_1104_1257,0.5,2012,1104,1257,21,26,23.62,24.23,3.63,4.63,52.31,57.06,6.86,7.75,4.03,5.89,1.86,2.48,14.16,18.94,4.33,4.92,13.66,14.49,5.82,6.26,19.09,21.11,7.28,8.07,10.81,13.14,4.1,4.69,24.38,25.09,3.4,5.08,12.28,13.77,2.64,4.14,12.94,14.66,2.94,3.65,7.31,9.11,3.51,3.3,4.16,4.86,2.68,2.12,18.41,17.86,4.01,4.24,0.38,0.38,0.49,0.48,0.38,0.42,0.33,0.36
28,2012_1104_1259,0.5,2012,1104,1259,21,24,23.62,23.0,3.63,3.95,52.31,53.78,6.86,6.98,4.03,5.0,1.86,2.38,14.16,14.69,4.33,4.32,13.66,16.59,5.82,5.27,19.09,23.12,7.28,7.13,10.81,13.28,4.1,4.57,24.38,22.06,3.4,4.23,12.28,12.0,2.64,3.39,12.94,13.47,2.94,3.55,7.31,7.78,3.51,3.42,4.16,4.34,2.68,1.96,18.41,18.88,4.01,5.15,0.38,0.45,0.49,0.48,0.38,0.4,0.33,0.39
29,2012_1104_1266,0.5,2012,1104,1266,21,25,23.62,26.5,3.63,4.59,52.31,57.72,6.86,5.19,4.03,5.69,1.86,2.55,14.16,16.88,4.33,4.56,13.66,17.25,5.82,6.89,19.09,23.94,7.28,8.72,10.81,11.81,4.1,3.21,24.38,24.0,3.4,4.06,12.28,16.84,2.64,4.76,12.94,13.25,2.94,3.84,7.31,8.81,3.51,3.56,4.16,3.5,2.68,1.81,18.41,17.88,4.01,4.09,0.38,0.42,0.49,0.51,0.38,0.33,0.33,0.34
30,2012_1104_1272,0.5,2012,1104,1272,21,26,23.62,26.82,3.63,4.74,52.31,54.26,6.86,6.21,4.03,5.38,1.86,2.86,14.16,14.59,4.33,3.95,13.66,16.26,5.82,5.22,19.09,22.59,7.28,6.83,10.81,9.47,4.1,3.31,24.38,24.94,3.4,4.11,12.28,14.76,2.64,3.93,12.94,12.74,2.94,3.41,7.31,7.94,3.51,3.63,4.16,5.68,2.68,2.8,18.41,19.06,4.01,4.51,0.38,0.42,0.49,0.55,0.38,0.34,0.33,0.31
31,2012_1104_1276,0.5,2012,1104,1276,21,23,23.62,23.88,3.63,3.89,52.31,52.09,6.86,6.54,4.03,8.12,1.86,2.7,14.16,23.03,4.33,5.92,13.66,10.88,5.82,5.11,19.09,15.06,7.28,6.35,10.81,8.5,4.1,4.13,24.38,22.09,3.4,4.47,12.28,12.75,2.64,4.18,12.94,10.94,2.94,3.39,7.31,4.97,3.51,2.29,4.16,2.09,2.68,1.77,18.41,15.75,4.01,3.65,0.38,0.3,0.49,0.54,0.38,0.3,0.33,0.27
32,2012_1104_1277,0.5,2012,1104,1277,21,27,23.62,25.91,3.63,5.87,52.31,54.38,6.86,7.62,4.03,5.53,1.86,2.53,14.16,15.15,4.33,4.6,13.66,14.79,5.82,5.66,19.09,21.21,7.28,7.97,10.81,11.74,4.1,5.21,24.38,26.26,3.4,4.78,12.28,15.32,2.64,6.0,12.94,13.0,2.94,3.36,7.31,7.32,3.51,2.97,4.16,4.38,2.68,2.2,18.41,17.62,4.01,3.94,0.38,0.4,0.49,0.53,0.38,0.36,0.33,0.36
33,2012_1104_1281,0.5,2012,1104,1281,21,30,23.62,28.0,3.63,4.95,52.31,55.59,6.86,6.05,4.03,8.24,1.86,2.85,14.16,20.82,4.33,4.48,13.66,16.06,5.82,5.16,19.09,20.97,7.28,5.92,10.81,9.18,4.1,3.43,24.38,23.03,3.4,4.53,12.28,16.21,2.64,3.89,12.94,10.29,2.94,2.69,7.31,8.21,3.51,3.02,4.16,2.82,2.68,1.47,18.41,14.12,4.01,3.67,0.38,0.39,0.49,0.58,0.38,0.24,0.33,0.3
34,2012_1104_1285,0.5,2012,1104,1285,21,23,23.62,24.83,3.63,4.42,52.31,53.07,6.86,5.9,4.03,6.41,1.86,2.37,14.16,16.76,4.33,3.89,13.66,15.17,5.82,6.2,19.09,21.1,7.28,7.68,10.81,8.76,4.1,3.91,24.38,24.14,3.4,4.32,12.28,13.83,2.64,3.82,12.94,12.41,2.94,3.47,7.31,7.1,3.51,3.91,4.16,3.76,2.68,2.17,18.41,18.55,4.01,4.98,0.38,0.4,0.49,0.53,0.38,0.33,0.33,0.27
35,2012_1104_1290,0.5,2012,1104,1290,21,21,23.62,23.94,3.63,4.49,52.31,59.52,6.86,7.35,4.03,7.52,1.86,2.79,14.16,22.88,4.33,6.21,13.66,13.52,5.82,5.48,19.09,20.79,7.28,7.82,10.81,13.24,4.1,3.92,24.38,23.88,3.4,5.4,12.28,13.3,2.64,3.92,12.94,14.48,2.94,4.39,7.31,8.76,3.51,3.78,4.16,2.39,2.68,1.52,18.41,20.42,4.01,3.95,0.38,0.36,0.49,0.47,0.38,0.38,0.33,0.34
36,2012_1104_1293,0.5,2012,1104,1293,21,27,23.62,24.64,3.63,4.23,52.31,51.82,6.86,6.21,4.03,7.43,1.86,2.66,14.16,18.25,4.33,3.87,13.66,17.5,5.82,6.48,19.09,24.04,7.28,8.43,10.81,10.64,4.1,4.03,24.38,22.61,3.4,4.37,12.28,12.54,2.64,3.66,12.94,13.96,2.94,3.13,7.31,8.04,3.51,2.69,4.16,4.29,2.68,2.58,18.41,18.21,4.01,3.91,0.38,0.47,0.49,0.55,0.38,0.4,0.33,0.34
37,2012_1104_1301,0.5,2012,1104,1301,21,22,23.62,26.68,3.63,4.33,52.31,57.65,6.86,6.83,4.03,5.35,1.86,2.27,14.16,15.06,4.33,4.19,13.66,14.68,5.82,6.65,19.09,20.74,7.28,7.62,10.81,12.15,4.1,3.74,24.38,25.03,3.4,4.78,12.28,15.97,2.64,4.49,12.94,12.82,2.94,3.29,7.31,6.91,3.51,3.18,4.16,4.06,2.68,2.27,18.41,17.03,4.01,4.17,0.38,0.37,0.49,0.51,0.38,0.33,0.33,0.36
38,2012_1104_1307,0.5,2012,1104,1307,21,26,23.62,24.84,3.63,5.78,52.31,54.19,6.86,7.54,4.03,7.69,1.86,2.84,14.16,19.97,4.33,4.69,13.66,15.19,5.82,6.21,19.09,21.34,7.28,7.29,10.81,11.09,4.1,4.37,24.38,26.5,3.4,4.17,12.28,16.09,2.64,5.23,12.94,13.31,2.94,4.23,7.31,6.84,3.51,2.92,4.16,3.28,2.68,2.16,18.41,17.62,4.01,4.65,0.38,0.41,0.49,0.53,0.38,0.42,0.33,0.33
39,2012_1104_1308,0.5,2012,1104,1308,21,24,23.62,26.48,3.63,5.44,52.31,56.7,6.86,8.63,4.03,4.58,1.86,2.24,14.16,13.97,4.33,3.57,13.66,19.85,5.82,7.19,19.09,29.91,7.28,9.14,10.81,14.45,4.1,4.96,24.38,25.55,3.4,4.64,12.28,13.88,2.64,3.88,12.94,14.67,2.94,3.68,7.31,6.79,3.51,3.05,4.16,4.09,2.68,2.13,18.41,17.94,4.01,4.08,0.38,0.55,0.49,0.51,0.38,0.39,0.33,0.4
40,2012_1104_1313,0.5,2012,1104,1313,21,24,23.62,24.31,3.63,4.53,52.31,54.28,6.86,9.84,4.03,5.34,1.86,2.47,14.16,17.03,4.33,5.71,13.66,15.59,5.82,5.55,19.09,23.75,7.28,8.01,10.81,11.19,4.1,5.05,24.38,24.94,3.4,5.17,12.28,12.0,2.64,3.91,12.94,14.81,2.94,4.02,7.31,6.53,3.51,2.91,4.16,4.75,2.68,2.45,18.41,19.09,4.01,4.21,0.38,0.46,0.49,0.5,0.38,0.42,0.33,0.32
41,2012_1104_1314,0.5,2012,1104,1314,21,29,23.62,30.0,3.63,5.79,52.31,65.12,6.86,8.89,4.03,5.06,1.86,2.66,14.16,14.91,4.33,4.39,13.66,16.91,5.82,5.45,19.09,24.79,7.28,8.21,10.81,15.68,4.1,6.17,24.38,29.38,3.4,5.73,12.28,17.44,2.64,5.56,12.94,11.76,2.94,3.27,7.31,6.82,3.51,3.01,4.16,5.59,2.68,2.91,18.41,14.79,4.01,3.84,0.38,0.38,0.49,0.5,0.38,0.26,0.33,0.39
42,2012_1104_1323,0.5,2012,1104,1323,21,22,23.62,22.91,3.63,5.16,52.31,53.06,6.86,7.56,4.03,6.42,1.86,2.72,14.16,19.52,4.33,5.08,13.66,14.24,5.82,6.6,19.09,20.12,7.28,8.2,10.81,10.27,4.1,4.15,24.38,23.76,3.4,4.97,12.28,14.48,2.64,5.37,12.94,10.03,2.94,3.01,7.31,5.18,3.51,2.2,4.16,3.42,2.68,2.12,18.41,13.76,4.01,3.39,0.38,0.39,0.49,0.49,0.38,0.26,0.33,0.3
43,2012_1104_1325,0.5,2012,1104,1325,21,26,23.62,24.36,3.63,4.43,52.31,57.09,6.86,7.92,4.03,7.24,1.86,2.93,14.16,21.73,4.33,4.3,13.66,14.24,5.82,4.92,19.09,20.91,7.28,5.92,10.81,12.7,4.1,4.08,24.38,21.55,3.4,4.52,12.28,12.94,2.64,3.99,12.94,13.21,2.94,3.9,7.31,9.45,3.51,2.77,4.16,2.7,2.68,1.45,18.41,19.76,4.01,4.12,0.38,0.38,0.49,0.49,0.38,0.36,0.33,0.35
44,2012_1104_1326,0.5,2012,1104,1326,21,27,23.62,27.59,3.63,5.74,52.31,57.12,6.86,6.15,4.03,4.85,1.86,2.02,14.16,14.88,4.33,2.89,13.66,14.74,5.82,6.27,19.09,21.12,7.28,8.3,10.81,11.88,4.1,4.61,24.38,25.06,3.4,5.38,12.28,14.97,2.64,5.07,12.94,11.62,2.94,3.59,7.31,7.21,3.51,3.74,4.16,3.0,2.68,1.92,18.41,16.06,4.01,3.45,0.38,0.38,0.49,0.52,0.38,0.3,0.33,0.35
45,2012_1104_1345,0.5,2012,1104,1345,21,21,23.62,25.55,3.63,4.48,52.31,57.94,6.86,7.4,4.03,8.21,1.86,3.05,14.16,21.79,4.33,4.89,13.66,12.88,5.82,5.85,19.09,19.76,7.28,7.64,10.81,11.27,4.1,3.97,24.38,21.76,3.4,3.59,12.28,13.7,2.64,3.96,12.94,8.67,2.94,3.27,7.31,6.55,3.51,2.77,4.16,3.24,2.68,2.22,18.41,17.79,4.01,4.72,0.38,0.35,0.49,0.52,0.38,0.2,0.33,0.32
46,2012_1104_1355,0.5,2012,1104,1355,21,25,23.62,25.97,3.63,4.36,52.31,55.88,6.86,6.79,4.03,8.16,1.86,2.64,14.16,20.75,4.33,5.89,13.66,16.28,5.82,5.49,19.09,22.31,7.28,7.79,10.81,10.16,4.1,3.59,24.38,23.88,3.4,5.08,12.28,13.91,2.64,3.57,12.94,10.41,2.94,3.59,7.31,6.47,3.51,1.88,4.16,1.84,2.68,1.51,18.41,16.22,4.01,3.4,0.38,0.41,0.49,0.54,0.38,0.25,0.33,0.3
47,2012_1104_1361,0.5,2012,1104,1361,21,24,23.62,25.19,3.63,4.32,52.31,55.65,6.86,6.05,4.03,5.58,1.86,2.22,14.16,16.55,4.33,3.65,13.66,14.16,5.82,6.16,19.09,20.16,7.28,7.71,10.81,10.48,4.1,3.71,24.38,26.1,3.4,4.66,12.28,12.32,2.64,3.54,12.94,12.71,2.94,3.85,7.31,5.42,3.51,2.59,4.16,2.32,2.68,1.78,18.41,16.16,4.01,4.73,0.38,0.36,0.49,0.5,0.38,0.35,0.33,0.31
48,2012_1104_1378,0.5,2012,1104,1378,21,19,23.62,21.19,3.63,4.67,52.31,48.75,6.86,6.31,4.03,4.59,1.86,1.97,14.16,14.78,4.33,3.53,13.66,11.84,5.82,5.13,19.09,16.69,7.28,6.54,10.81,10.38,4.1,3.13,24.38,23.31,3.4,3.92,12.28,11.62,2.64,4.35,12.94,13.69,2.94,4.42,7.31,5.56,3.51,2.31,4.16,3.56,2.68,1.61,18.41,15.38,4.01,4.02,0.38,0.35,0.49,0.48,0.38,0.49,0.33,0.34
